request,category,priority,urgency
The laptop screen freezes whenever I open the payroll app,IT,Medium,Not Immediate
A phishing email was sent to finance staff,IT,High,Immediate
The system password reset link is not working,IT,Medium,Not Immediate
The shared drive folder cannot be opened,IT,Medium,Not Immediate
The company network is down in the office,IT,High,Immediate
My leave balance is incorrect on the HR system,HR,Medium,Not Immediate
Several employees have incorrect leave records,HR,Medium,Not Immediate
HR needs to update my employment record before payroll closes,HR,Medium,Not Immediate
My employee details are missing from the HR records,HR,Medium,Not Immediate
I need HR to confirm my contract details,HR,Medium,Not Immediate
My overtime hours were not captured by HR,HR,Medium,Not Immediate
An employee has raised a harassment complaint,HR,High,Not Immediate
I need to report discrimination in my department,HR,High,Not Immediate
A staff member is being bullied by a supervisor,HR,High,Not Immediate
HR needs to review a disciplinary case urgently,HR,High,Immediate
My sick leave documents were not processed,HR,Medium,Not Immediate
A new employee has not received onboarding documents,HR,Low,Not Immediate
My maternity leave record needs correction,HR,Medium,Not Immediate
My payroll profile has the wrong employment status,HR,Medium,Not Immediate
HR must confirm employee records before salary processing,HR,Medium,Not Immediate
The resignation paperwork has not been processed,HR,Medium,Not Immediate
An employee submitted a grievance against their manager,HR,High,Not Immediate
My benefits information is incorrect on the employee portal,HR,Low,Not Immediate
The probation review form is missing from HR records,HR,Medium,Not Immediate
The recruitment approval for a new hire is delayed,HR,Medium,Not Immediate
The warehouse dispatch process stopped after equipment failure,Operations,High,Immediate
A conveyor belt failure is delaying customer deliveries,Operations,High,Immediate
The delivery route was blocked and orders are delayed,Operations,Medium,Not Immediate
The stock count does not match the inventory report,Operations,Medium,Not Immediate
The warehouse has no stock for urgent customer orders,Operations,High,Immediate
The production workflow is blocked because materials are missing,Operations,High,Immediate
A vehicle broke down during scheduled deliveries,Operations,High,Immediate
The facility has a safety issue that needs urgent repair,Operations,High,Immediate
The dispatch team cannot process orders due to missing packaging materials,Operations,Medium,Not Immediate
Inventory reconciliation failed after the stocktake,Operations,Medium,Not Immediate
The courier collected the wrong order from the warehouse,Operations,Medium,Not Immediate
A shipment was delivered to the wrong branch,Operations,Medium,Not Immediate
The production line stopped because the machine overheated,Operations,High,Immediate
The warehouse floor has a safety hazard,Operations,High,Immediate
Operations needs to reschedule deliveries after a route change,Operations,Medium,Not Immediate
The branch received damaged stock from the supplier,Operations,Medium,Not Immediate
The stock delivery is delayed because the supplier missed the deadline,Operations,Medium,Not Immediate
The operations team needs extra capacity for month end orders,Operations,Low,Not Immediate
The inspection process found quality issues with packed orders,Operations,Medium,Not Immediate
The building maintenance request is affecting daily operations,Operations,Medium,Not Immediate
The invoice was generated but the printer in finance is not working,IT,Medium,Not Immediate
The salary report is ready but the finance approval file has duplicate payments,Finance,High,Immediate
HR must verify employee records because payroll amounts are incorrect,HR,Medium,Not Immediate
The payroll website is down and finance cannot process salaries,IT,High,Immediate
The warehouse system is down and dispatch cannot release deliveries,IT,High,Immediate
Finance needs to investigate a supplier refund that has not reflected,Finance,Medium,Not Immediate
Operations needs help because the delivery schedule is delayed by missing stock,Operations,Medium,Not Immediate
HR needs to update employee banking details before payroll processing,HR,Medium,Not Immediate
A suspicious supplier invoice was uploaded through the finance portal,Finance,High,Immediate
The internal payroll app is freezing during salary approval,IT,High,Immediate
The payroll report contains duplicate employee records,Finance,High,Immediate
The supplier payment reference number is incorrect,Finance,Medium,Not Immediate
Finance cannot reconcile the latest transaction report,Finance,Medium,Not Immediate
An unauthorised debit appeared on the company account,Finance,High,Immediate
The payroll totals do not match the banking file,Finance,High,Immediate
A suspicious invoice was submitted for approval,Finance,High,Immediate
The supplier account details were changed without authorisation,Finance,High,Immediate
A refund was processed incorrectly on the finance system,Finance,Medium,Not Immediate
The finance report is missing recent transactions,Finance,Medium,Not Immediate
The monthly expense report failed validation checks,Finance,Medium,Not Immediate
My account password expired and I cannot login,IT,Medium,Not Immediate
The VPN authentication service is unavailable,IT,High,Immediate
The payroll server stopped responding overnight,IT,High,Immediate
The laptop battery is failing during remote work,IT,Low,Not Immediate
The shared network drive is inaccessible,IT,Medium,Not Immediate
The payroll portal gives an internal server error,IT,High,Immediate
The antivirus software detected a possible threat,IT,High,Immediate
The employee portal is loading very slowly,IT,Medium,Not Immediate
The company website crashed during peak usage,IT,High,Immediate
The office internet connection is unstable,IT,Medium,Not Immediate
My leave request was rejected incorrectly,HR,Medium,Not Immediate
The HR portal shows the wrong employee information,HR,Medium,Not Immediate
An employee complaint requires HR intervention,HR,High,Immediate
The onboarding checklist is incomplete for new staff,HR,Low,Not Immediate
My employment benefits are missing from the system,HR,Medium,Not Immediate
The recruitment approval process is delayed,HR,Medium,Not Immediate
A disciplinary hearing needs urgent HR support,HR,High,Immediate
The payroll department requires updated HR records,HR,Medium,Not Immediate
An employee resignation has not been processed,HR,Medium,Not Immediate
The HR database contains duplicate employee profiles,HR,Medium,Not Immediate
The warehouse received damaged stock from the supplier,Operations,Medium,Not Immediate
Operations cannot complete deliveries because stock is unavailable,Operations,High,Immediate
The dispatch process stopped during loading,Operations,High,Immediate
A logistics scheduling conflict delayed customer deliveries,Operations,Medium,Not Immediate
The maintenance team reported equipment failure,Operations,High,Immediate
The warehouse inventory report is inaccurate,Operations,Medium,Not Immediate
The production process stopped because materials are delayed,Operations,High,Immediate
A delivery vehicle failed during transportation,Operations,High,Immediate
The operations workflow is delayed by supplier shortages,Operations,Medium,Not Immediate
The packaging department sent incorrect stock quantities,Operations,Medium,Not Immediate
The payroll system login failed after a suspicious access attempt,IT,High,Immediate
HR needs to verify employee banking details before payroll processing,HR,Medium,Not Immediate
Finance identified duplicate salary payments during payroll review,Finance,High,Immediate
The warehouse system is unavailable during dispatch processing,IT,High,Immediate
Operations reported delayed deliveries because the routing system failed,Operations,High,Immediate
The employee attendance system is not syncing correctly,HR,Medium,Not Immediate
Finance needs urgent review of unauthorised supplier transactions,Finance,High,Immediate
The network outage interrupted production workflows,IT,High,Immediate
The supplier shipment arrived with incorrect inventory quantities,Operations,Medium,Not Immediate
The payroll reconciliation process failed after incorrect deductions,Finance,High,Immediate
